line,tag,id,classes,parent
177,span,raceStatus,,raceBadge
178,div,buildBadge,build-badge,game
178,b,buildTypeLabel,,buildBadge
179,div,vehicleBadge,vehicle-badge,game
180,div,safetyPanel,safety-panel,game
181,span,,,safetyPanel
181,div,,,safetyPanel
181,b,,,div
181,small,safetyStatus,,div
183,div,toast,toast,game
186,aside,challengePrompt,challenge-prompt,app
187,div,,challenge-prompt-icon,challengePrompt
188,div,,challenge-prompt-copy,challengePrompt
188,small,challengePromptKicker,,div
188,b,challengePromptTitle,,div
188,span,challengePromptText,,div
189,div,,challenge-prompt-actions,challengePrompt
190,button,challengePromptDecline,,div
191,button,challengePromptAccept,accept,div
195,div,modal,modal,app
196,div,,modal-card,modal
197,header,,,div
197,h2,modalTitle,,header
197,button,modalClose,,header
198,div,modalBody,modal-body,div
204,script,,,body
205,script,,,body
206,script,,,body
207,script,,,body
208,script,,,body
209,script,,,body
210,script,,,body
211,script,,,body
212,script,,,body
213,script,,,body
214,script,,,body
215,script,,,body
216,script,,,body
