type,name,module,line,snippet
function-declaration,initThree,28-multiplayer-social-online.js,5083,
function-declaration,buildConflictsWithMasterWorldV704,28-multiplayer-social-online.js,5090,
function-declaration,applyQuality,28-multiplayer-social-online.js,5101,
function-declaration,migrateLegacyWorldBuildsV704,28-multiplayer-social-online.js,5102,
function-declaration,viewportMetrics,28-multiplayer-social-online.js,5103,
function-declaration,reconcileWorldBuilds,28-multiplayer-social-online.js,5112,
function-declaration,resize,29-game-loop-controls-gamepad.js,5129,
top-level-arrow,nextPaint,29-game-loop-controls-gamepad.js,5142,const nextPaint=()=>new Promise(resolve=>requestAnimationFrame(()=>resolve()));
function-declaration,scheduleStableResize,29-game-loop-controls-gamepad.js,5146,
function-declaration,ensureViewportCoherence,29-game-loop-controls-gamepad.js,5147,
function-declaration,refreshOrientationLayout,29-game-loop-controls-gamepad.js,5151,
function-declaration,restorePosition,29-game-loop-controls-gamepad.js,5156,
function-declaration,returnHome,29-game-loop-controls-gamepad.js,5162,
function-declaration,savePlayerPosition,29-game-loop-controls-gamepad.js,5169,
function-declaration,groundHeightAt,29-game-loop-controls-gamepad.js,5182,
function-declaration,positionBlockedForPlayer,29-game-loop-controls-gamepad.js,5185,
function-declaration,safePointNear,29-game-loop-controls-gamepad.js,5202,
function-declaration,rememberSafePlayerPosition,29-game-loop-controls-gamepad.js,5207,
function-declaration,resetPlayerModesForRecovery,29-game-loop-controls-gamepad.js,5213,
function-declaration,recoverPlayerToLastSafe,29-game-loop-controls-gamepad.js,5220,
function-declaration,recoverPlayerIfInvalid,29-game-loop-controls-gamepad.js,5225,
function-declaration,safeVehicleExitPoint,29-game-loop-controls-gamepad.js,5233,
function-declaration,vehicleHitsCollider,29-game-loop-controls-gamepad.js,5237,
function-declaration,registerVehicleImpact,30-pause-tests-public-api-bootstrap.js,5246,
function-declaration,resolveCollisions,30-pause-tests-public-api-bootstrap.js,5250,
function-declaration,resolveMovementInput,30-pause-tests-public-api-bootstrap.js,5252,
function-declaration,sprintRequested,30-pause-tests-public-api-bootstrap.js,5281,
function-declaration,updateRunUI,30-pause-tests-public-api-bootstrap.js,5282,
function-declaration,clearMovementInputs,30-pause-tests-public-api-bootstrap.js,5285,
function-declaration,canJump,30-pause-tests-public-api-bootstrap.js,5293,
function-declaration,requestJump,30-pause-tests-public-api-bootstrap.js,5294,
function-declaration,doJump,30-pause-tests-public-api-bootstrap.js,5295,
function-declaration,updatePlayer,30-pause-tests-public-api-bootstrap.js,5296,
function-declaration,mobilityThrottleIntent,30-pause-tests-public-api-bootstrap.js,5331,
function-declaration,updateVehiclePhysics,30-pause-tests-public-api-bootstrap.js,5344,
function-declaration,animatePlayer,30-pause-tests-public-api-bootstrap.js,5359,
function-declaration,checkHazards,30-pause-tests-public-api-bootstrap.js,5385,
function-declaration,collectNearbyCrystals,30-pause-tests-public-api-bootstrap.js,5388,
function-declaration,npcSpeech,30-pause-tests-public-api-bootstrap.js,5392,
function-declaration,nearestRideCompanion,30-pause-tests-public-api-bootstrap.js,5393,
function-declaration,nearestBoardableNpc,30-pause-tests-public-api-bootstrap.js,5396,
function-declaration,boardNpcPassenger,30-pause-tests-public-api-bootstrap.js,5399,
function-declaration,releaseNpcPassenger,30-pause-tests-public-api-bootstrap.js,5402,
function-declaration,updateNpcSociety,30-pause-tests-public-api-bootstrap.js,5405,
function-declaration,updateNPCs,30-pause-tests-public-api-bootstrap.js,5415,
top-level-arrow,ROOM_WORLD_LAYOUTS,31-neighborhood-world-controller.js,5424,"const ROOM_WORLD_LAYOUTS=new Map((window.OTTHI_CONFIG?.rooms||[]).map(room=>[room.id,{...room,shortName:String(room.name||'Bairro').replace('Bairro da ','').replace('Bairro do ','').replace('Bairro ','')}]))"
function-declaration,updateEnemies,,5452,
